,Tieu de,Tác giả,Người dịch,Nhà xuất bản,Nhà phát hành,Mã Sản phẩm,Giấy phép XB,Khối lượng,Ngôn ngữ,Định dạng,Kích thước,Ngày phát hành,Số trang
0,Người Đàn Ông Mang Tên Ove,Fredrik Backman,Fredrik Backman,Nxb Trẻ,NXB Trẻ,8934974182375,NaN,NaN,Tiếng Việt,Bìa mềm,13 x 20 cm,2022,452
1,Mối Quan Hệ 5.0,Elyakim Kislev,NaN,NXB Công Thương,NaN,8935280913110,NaN,610.00 gam,Tiếng Việt,Bìa mềm,24 x 15.5 cm,2023,360
2,Đừng Chết Bởi Hóa Chất (Tái Bản 2022),"Kang Sang Wook, Lee Jun Young",NaN,Nxb Thế giới,NaN,8935280912397,NaN,500.00 gam,Tiếng Việt,Bìa mềm,20.5 x 14 cm,2022,256
3,Circe,Madeline Miller,NaN,NXB Kim Đồng,NXB Kim Đồng,8935244874488,NaN,750.00 gam,Tiếng Việt,Bìa mềm,22.5 x 14.5 cm,2022,528
4,Toái Ngọc Đầu Châu,Bắc Nam,NaN,Nxb Hà Nội,AZ Việt Nam,8935325003264,-QĐ/HN,950.00 gam,Tiếng Việt,Bìa mềm,20.5 x 14.5 cm,2022,928
5,Hy Vọng Mong Manh,Shizukui Shusuke,NaN,Nxb Hà Nội,Nhã Nam,8935235234109,NaN,650.00 gam,Tiếng Việt,Bìa mềm,20.5 x 14 x 0.8 cm,2022,368
6,"Có Một Ngày, Bố Mẹ Sẽ Già Đi",Nhiều tác giả,NaN,Nxb Thế giới,AZ Việt Nam,8936186544576,NaN,500.00 gam,Tiếng Việt,Bìa mềm,18 x 13 x 0.5 cm,2020,296
7,Tiền Kiếp Có Hay Không?,Jim B Tucker,NaN,Nxb Thế giới,Thái Hà,8935280912991,NaN,550.00 gam,Tiếng Việt,Bìa mềm,20.5 x 13 cm,2022,332
8,Hôn Nhân Chân Kinh - Tái Bản 2022,Gari Chapman,NaN,Nxb Lao động,Nhã Nam,8935280912946,NaN,450.00 gam,Tiếng Việt,Bìa mềm,20.5 x 13 cm,2023,200
9,Lời Hứa,Damon Galgut,NaN,Nxb Lao động,BachvietBooks,9786043862218,NaN,600.00 gam,Tiếng Việt,Bìa mềm,20.5 x 14.5 cm,2022,376
